energy_density,size,porosity,speed,density,hatch,n_density,,,,,,,,,,,
0.18,1.5,0.056754902,4000,0.96211,0.3,0.4211,,,,,,,,,,,
0.18,2,0.046303922,4000,0.97277,0.3,0.5277,,,,,,,,,,,
0.18,2.5,0.021078431,4000,0.9985,0.3,0.785,,,,,,,,,,,
0.18,3,0.061284314,4000,0.95749,0.3,0.3749,,,,,,,,,,,
0.18,5,0.075303922,4000,0.94319,0.3,0.2319,,,,,,,,,,,
0.18,8,0.098,4000,0.92001,0.3,0.01,,,,,,,,,,,
0.18,10,0.098,4000,0.91517,0.3,0.01,,,,,,,,,,,
0.18,20,0.093343137,4000,0.92479,0.3,0.0479,,,,,,,,,,,
0.225,1.5,0.075911765,4000,0.94257,0.2,0.2257,,,,,,,,,,,
0.225,2,0.023284314,4000,0.99625,0.2,0.7625,,,,,,,,,,,
0.225,2.5,0.06554902,4000,0.95314,0.2,0.3314,,,,,,,,,,,
0.225,3,0.059607843,4000,0.9592,0.2,0.392,,,,,,,,,,,
0.225,5,0.065147059,4000,0.95355,0.2,0.3355,,,,,,,,,,,
0.225,8,0.057509804,4000,0.96134,0.2,0.4134,,,,,,,,,,,
0.225,10,0.059333333,4000,0.95948,0.2,0.3948,,,,,,,,,,,
0.225,20,0.056372549,4000,0.9625,0.2,0.425,,,,,,,,,,,
0.3,1.5,0.061813725,4000,0.95695,0.25,0.3695,,,,,,,,,,,
0.3,2,0.020166667,4000,0.99943,0.25,0.7943,,,,,,,,,,,
0.3,2.5,0.050303922,4000,0.96869,0.25,0.4869,,,,,,,,,,,
0.3,3,0.042176471,4000,0.97698,0.25,0.5698,,,,,,,,,,,
0.3,5,0.028970588,4000,0.99045,0.25,0.7045,,,,,,,,,,,
0.3,8,0.029784314,4000,0.98962,0.25,0.6962,,,,,,,,,,,
0.3,10,0.028039216,4000,0.9914,0.25,0.714,,,,,,,,,,,
0.3,20,0.023245098,4000,0.99629,0.25,0.7629,,,,,,,,,,,
0.3,1.5,0.039196078,2000,0.98002,0.15,0.6002,,,,,,,,,,,
0.3,2,0.02827451,2000,0.99116,0.15,0.7116,,,,,,,,,,,
0.3,2.5,0.0001,2000,1.02469,0.15,0.9999,,,,,,,,,,,
0.3,3,0.0001,2000,1.04545,0.15,1,,,,,,,,,,,
0.3,5,0.029068627,2000,0.99035,0.15,0.7035,,,,,,,,,,,
0.3,8,0.025784314,2000,0.9937,0.15,0.737,,,,,,,,,,,
0.3,10,0.030137255,2000,0.98926,0.15,0.6926,,,,,,,,,,,
0.3,20,0.023607843,2000,0.99592,0.15,0.7592,,,,,,,,,,,
0.36,1.5,0.016186275,2000,1.00349,0.2,0.8349,,,,,,,,,,,
0.36,2,0.039088235,2000,0.98013,0.2,0.6013,,,,,,,,,,,
0.36,2.5,0.018941176,2000,1.00068,0.2,0.8068,,,,,,,,,,,
0.36,3,0.014705882,2000,1.005,0.2,0.85,,,,,,,,,,,
0.36,5,0.019647059,2000,0.99996,0.2,0.7996,,,,,,,,,,,
0.36,8,0.022539216,2000,0.99701,0.2,0.7701,,,,,,,,,,,
0.36,10,0.024372549,2000,0.99514,0.2,0.7514,,,,,,,,,,,
0.36,20,0.020833333,2000,0.99875,0.2,0.7875,,,,,,,,,,,
0.45,1.5,0.002627451,4000,1.01732,0.1,0.9732,,,,,,,,,,,
0.45,2,0.009392157,4000,1.01042,0.1,0.9042,,,,,,,,,,,
0.45,2.5,0.013803922,4000,1.00592,0.1,0.8592,,,,,,,,,,,
0.45,3,0.020539216,4000,0.99905,0.1,0.7905,,,,,,,,,,,
0.45,5,0.023392157,4000,0.99614,0.1,0.7614,,,,,,,,,,,
0.45,8,0.019833333,4000,0.99977,0.1,0.7977,,,,,,,,,,,
0.45,10,0.024980392,4000,0.99452,0.1,0.7452,,,,,,,,,,,
0.45,20,0.021970588,4000,0.99759,0.1,0.7759,,,,,,,,,,,
0.45,1.5,0.000362745,2000,1.01963,0.25,0.9963,,,,,,,,,,,
0.45,2,0.0001,2000,1.03714,0.25,1,,,,,,,,,,,
0.45,2.5,0.053686275,2000,0.96524,0.25,0.4524,,,,,,,,,,,
0.45,3,0.020803922,2000,0.99878,0.25,0.7878,,,,,,,,,,,
0.45,5,0.021254902,2000,0.99832,0.25,0.7832,,,,,,,,,,,
0.45,8,0.02172549,2000,0.99784,0.25,0.7784,,,0.9963,1,0.4524,0.7878,0.7832,0.7784,0.7589,0.8137,
0.45,10,0.023637255,2000,0.99589,0.25,0.7589,,,,,,,,,,,
0.45,20,0.018264706,2000,1.00137,0.25,0.8137,,,,,,,,,,,
0.6,1.5,0.014382353,2000,1.00533,0.15,0.8533,,,,,,,,,,,
0.6,2,0.030539216,2000,0.98885,0.15,0.6885,,,,,,,,,,,
0.6,2.5,0.049509804,2000,0.9695,0.15,0.495,,,,0.8533,0.6885,0.495,0.4064,0.3704,0.3594,0.4209,0.5115
0.6,3,0.058196078,2000,0.96064,0.15,0.4064,,,,,,,,,,,
0.6,5,0.06172549,2000,0.95704,0.15,0.3704,,,,,,,,,,,
0.6,8,0.062803922,2000,0.95594,0.15,0.3594,,,,,,,,,,,
0.6,10,0.05677451,2000,0.96209,0.15,0.4209,,,,,,,,,,,
0.6,20,0.047892157,2000,0.97115,0.15,0.5115,,,,,,,,,,,
